snapped_at,price,market_cap,total_volume
2018-02-05 00:00:00 UTC,0.16764083262735277,38637651.22931981,327079.9732595063
2018-02-06 00:00:00 UTC,0.12361103071728897,28489717.082042675,315324.97630042833
2018-02-07 00:00:00 UTC,0.15869691436960784,36576268.039733395,462475.8588449141
2018-02-08 00:05:14 UTC,0.15055765129466286,34700340.77890629,362547.8514240876
2018-02-09 00:00:00 UTC,0.15803155617161369,36422917.10730387,337585.4753989293
2018-02-10 00:00:00 UTC,0.1725818516272686,39776451.161556855,286432.6218454737
2018-02-11 00:00:00 UTC,0.16716405242767113,38527763.52010463,435462.8860389905
2018-02-12 00:00:00 UTC,0.16036877894653198,36961597.3143108,222346.3831610639
2018-02-13 00:00:00 UTC,0.17590845651743345,40543162.93165198,255554.55010021926
2018-02-14 00:00:00 UTC,0.18007620827067583,41503741.18772711,507257.390507614
2018-02-15 00:00:00 UTC,0.1879948306068037,43328815.44466616,440558.24091635377
2018-02-16 00:00:00 UTC,0.24502781687571354,56473707.39902153,2768783.9830991277
2018-02-17 00:00:00 UTC,0.2773361782379894,63920098.46343078,2209717.045303352
2018-02-18 00:00:00 UTC,0.27067790324193663,62385507.49860153,1540521.6978452443
2018-02-19 00:00:00 UTC,0.22157865510861594,51069173.671901464,1011040.619911355
2018-02-20 00:00:00 UTC,0.2306653729013377,53163469.12123792,1380008.4493538335
2018-02-21 00:00:00 UTC,0.20510529799631633,47272414.75162147,1140840.1199967905
2018-02-22 00:00:00 UTC,0.14516496441355567,33457440.99348044,968909.38747949
2018-02-23 00:00:00 UTC,0.14517185755940828,33459029.717189047,967633.3881453348
2018-02-24 00:00:00 UTC,0.12473089780443901,28747822.659653824,860056.4987625213
2018-02-25 00:00:00 UTC,0.12945170579964974,29835868.63258808,763431.6947587344
2018-02-26 00:00:00 UTC,0.11857044305588363,27327968.68817067,344108.1665765987
2018-02-27 00:00:00 UTC,0.1284833648090022,29612686.60180646,291675.4005195942
2018-02-28 00:00:00 UTC,0.12492178323837423,28791817.697769277,320091.90316477313
2018-03-01 00:00:00 UTC,0.10609156436924402,24451852.202283546,302014.3384827046
